,_id,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,ViewData.Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,ViewData.Trade Date,ViewData.CUSIP,ViewData.Description,ViewData.SEDOL,ViewData.Ticker,ViewData.Underlying Cusip,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Settle Date,ViewData.Fund,ViewData.Cancel Amount,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Custodian,ViewData.Asset Type Category,ViewData.Cancel Flag,ViewData.Investment Type,ViewData.Prime Broker,ViewData.Quantity,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.ExpiryDate,ViewData.Base Net Amount,ViewData.Strike Price,ViewData.OTE Ticker,ViewData.Age,ViewData.Age WK,ViewData.Mapped Custodian Account,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds
4694,5e981bb31554581fb0ec09d6,1090109139,OB,,USD,05042099,,DIVIDEND,01-21-2020,SDB3285524215,"GSRPEMUL CUSTOM BASKET RIC-.GSRPEMUL CFD OTC EX Jun 28,28 1304.488595 USD X1",,SDB3285524215,,,,01-21-2020,PO,-0.299999999999999,,-0.299999999999999,-0.3,0.3,05042099,CA,0.0,,GS,0.0,0.0,0.0,,,,,,86,62,GSIL_PB_PO,,851_125713297_Goldman Sachs
4695,5e981bb31554581fb0ec09de,1090109101,OB,,USD,05042099,,DIVIDEND,01-21-2020,SDB3287146739,"GSRPEMUL CUSTOM BASKET RIC-.GSRPEMUL CFD OTC EX Aug 04,28 1403.833026266667 USD X1",,SDB3287146739,,,,01-21-2020,PO,-0.609999999999999,,-0.609999999999999,-0.61,0.61,05042099,CA,0.0,,GS,0.0,0.0,0.0,,,,,,86,62,GSIL_PB_PO,,850_125713297_Goldman Sachs
4696,5e981bb41554581fb0ec0d65,1091239059,SMB,,USD,GSIL_PB_PO,BMG0750C1082,Buy,01-17-2020,G0750C108,AXALTA COATING SYSTEMS LTD,BSFWCF5,AXTA,,,,01-22-2020,PO,-127600.0,-127600.0,-127615.0,-15.0,15.0,GS,Common Stock,0.0,Common Stock,GS,4400.0,29.0,0.0,,,127600.0,0.0,AXTA,90,64,GSIL_PB_PO,292_125713942_Advent Geneva,22_125713942_Goldman Sachs
4697,5e981bb41554581fb0ec0d68,1091238174,SMB,,USD,GSIL_PB_PO,US1013881065,Buy,01-17-2020,101388106,BOTTOMLINE TECH DEL,2389558,EPAY,,,,01-22-2020,PO,-10000.0,-10000.0,-10015.0,-15.0,15.0,GS,Common Stock,0.0,Common Stock,GS,200.0,50.0,0.0,,,10000.0,0.0,EPAY,90,64,GSIL_PB_PO,325_125713942_Advent Geneva,18_125713942_Goldman Sachs
4698,5e981bb41554581fb0ec0d74,1091239612,SMB,,USD,GSIL_PB_PO,US29415F1049,Sell,01-17-2020,29415F104,ENVISTA HOLDINGS CORP,BK63SF3,NVST,,,,01-22-2020,PO,14499.7,14499.7,14484.69,-15.0100000000002,15.0100000000002,GS,Common Stock,0.0,Common Stock,GS,-500.0,29.0,0.0,,,14499.7,0.0,NVST,90,64,GSIL_PB_PO,327_125713942_Advent Geneva,30_125713942_Goldman Sachs
4699,5e981bb41554581fb0ec0d7d,1091239703,SMB,,USD,GSIL_PB_PO,GB00BDSFG982,Buy,01-17-2020,00BDSFG98,TECHNIPFMC PLC,BDSFG98,FTI,,,,01-22-2020,PO,-84000.0,-84000.0,-84015.0,-15.0,15.0,GS,Common Stock,0.0,Common Stock,GS,4200.0,20.0,0.0,,,84000.0,0.0,FTI,90,64,GSIL_PB_PO,326_125713942_Advent Geneva,23_125713942_Goldman Sachs
4700,5e981bb41554581fb0ec0d8e,1091238296,SMB,,USD,GSIL_PB_PO,US9290891004,Buy,01-17-2020,929089100,VOYA FINANCIAL INC,BKWQ2N2,VOYA,,,,01-22-2020,PO,-12000.0,-12000.0,-12015.0,-15.0,15.0,GS,Common Stock,0.0,Common Stock,GS,200.0,60.0,0.0,,,12000.0,0.0,VOYA,90,64,GSIL_PB_PO,328_125713942_Advent Geneva,14_125713942_Goldman Sachs
4701,5e99443f1554581fb0fe2947,1092870497,OB,,GBP,MS_PB_MF,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MF,-82.64,-82.64,,82.64,82.64,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,82.64,0.0,GBP=,86,62,MS_PB_MF,1168_125715430_Advent Geneva,
4702,5e99443f1554581fb0fe294e,1092870471,OB,,GBP,MS_PB_MF,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MF,51.05,51.05,,-51.05,51.05,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,51.05,1.0,,,,51.05,0.0,GBP=,86,62,MS_PB_MF,1167_125715430_Advent Geneva,
4703,5e99443f1554581fb0fe2962,1092870565,OB,,GBP,MS_PB_PO,,Transfer,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,PO,12.29,12.29,,-12.29,12.29,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,12.29,1.0,,,,12.29,0.0,GBP=,86,62,MS_PB_PO,1361_125715430_Advent Geneva,
